name,service,serviceKey,catalogTypes,tier,platforms,releaseDate,streamingSupported,reviewScore,gameplayMain,gameplayMainExtra,gameplayCompletionist,imageUrl,hltbId,hltbName,productId,productUrl
War Thunder,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,68,541,1630.4,4627.7,https://store-images.s-microsoft.com/image/apps.22630.63381296256995371.9e10cdbd-1881-4099-9f20-0b0885c216a7.c42b9272-8726-4fb6-b601-bc0ca73363a4,15234,War Thunder,BX1DTCBD1HXJ,
ARK: Survival Ascended,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,63,336.7,725,750.2,https://store-images.s-microsoft.com/image/apps.28808.14545480955348978.c66022f5-e4e3-4713-8508-d8bd11df0814.6790feb5-a50e-42a7-83b4-076a5c1b170e,139631,ARK: Survival Ascended,9P33VJGVPHVP,
ARK: Ultimate Survivor Edition,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,,336.7,725,750.2,https://store-images.s-microsoft.com/image/apps.14842.14036931078975578.35527dd4-bd1c-43d9-90ff-3a801a47df6a.e296f313-9109-4635-a3cb-14b747fb2230,139631,ARK: Survival Ascended,9N5JRWWGMS1R,
Mount & Blade: Warband,PlayStation Plus,playstation-plus,Classics Catalog,Premium,PS4,2016-09-16T04:00:00Z,false,,120,2,643,https://image.api.playstation.com/cdn/UP1468/CUSA04045_00/L4RsvwBkFNQEbzqkiUsgHHitcsoSbXna.png,6240,Mount  Blade Warband,UP1468-CUSA04045_00-0000000000000000,https://store.playstation.com/en-us/concept/209608
Elite Dangerous,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS4,2017-06-27T04:00:00Z,false,74,113.6,253.8,676.8,https://image.api.playstation.com/vulcan/img/rnd/202010/0709/62EPRGVMMzeUMdvC140nDFpO.png,3088,Elite: Dangerous,UP2514-CUSA06362_00-EDBASEGAME000000,https://store.playstation.com/en-us/concept/221902
Elite Dangerous Standard Edition,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,74,113.6,253.8,676.8,https://store-images.s-microsoft.com/image/apps.52789.66140674465174653.87b233ab-7e5c-417b-9d55-ad08143ae685.55e2e6d9-4ffa-4887-9ec7-3fa653ceb2fd,3088,Elite: Dangerous,C3LW50BQJ878,
RoadCraft,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,75,104.8,134.3,158.9,https://store-images.s-microsoft.com/image/apps.24483.13982274548286624.6ccdd9db-6d03-467c-b6c3-b56c939a6347.71a57bb2-c772-46a5-8f86-8c05feae1586,155645,RoadCraft,9N4J937WLFPZ,
Persona 5 Royal,PlayStation Plus,playstation-plus,Game Catalog,Extra/Premium,PS5,2022-10-21T04:00:00Z,true,94,101.2,123.1,140.7,https://image.api.playstation.com/vulcan/ap/rnd/202209/0202/OjPcc6QP2W8kImOhWSnzojn3.png,66630,Persona 5 Royal,UP0177-PPSA05109_00-P5RGAME000000000,https://store.playstation.com/en-us/concept/10002771
Persona 5 Royal,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,94,101.2,123.1,140.7,https://store-images.s-microsoft.com/image/apps.13393.14482474285447263.b2785fbb-9099-42c3-b705-629a79ac7e4a.2eb2f42a-78c6-49cb-bba9-f372747ecf47,66630,Persona 5 Royal,9NZDHXL9SJJ8,
Asphalt Legends,Xbox Game Pass,xbox-game-pass,Game Catalog,Ultimate/PC/Console,PC | Xbox,,,64,83.9,154.9,466.4,https://store-images.s-microsoft.com/image/apps.13476.14471421918435459.ac5aea21-4fb1-43bd-a948-1b649d60da47.730493e6-fa1b-408d-91bc-55e03ea69a76,59993,Asphalt Legends Unite,9NZQPT0MWTD0,
